,exclude_plaintext_nonbase32,exclude_plaintext_base32,exclude_encrypted_v1,exclude_encrypted_v2,exclude_encrypted_base32,exclude_encrypted_nonbase32,exclude_webp,exclude_nonwebp,baseline-f1_score,advanced-f1_score,fourier-f1_score,n_encrypted,n_non_encrypted,ratio_encrypt_nonencrypt,best_f1_score,improvement_in_advanced,improvement_in_fourier,room_for_improvement,fourier_minus_advanced,percentage_of_room_filled
39,False,False,False,True,False,True,True,False,0.004574042309891367,0.9002375296912113,0.9218094438935084,49228,196912,0.25,0.9218094438935084,0.89566348738132,0.917235401583617,0.9954259576901087,0.021571914202297093,92.14501535725135
41,False,False,False,True,False,True,False,False,0.005320108205590622,0.7124698956382125,0.761684147309268,80853,323412,0.25,0.761684147309268,0.7071497874326219,0.7563640391036774,0.9946798917944094,0.04921425167105553,76.04094999238313
35,False,False,True,False,False,False,False,False,0.0,0.2843631289247228,0.47768225179601925,161706,323412,0.5,0.47768225179601925,0.2843631289247228,0.47768225179601925,1.0,0.19331912287129643,47.76822517960193
10,False,True,False,True,True,False,False,True,0.16662983425414363,0.60570987654321,0.6256473680142228,31625,63250,0.5,0.6256473680142228,0.43908004228906633,0.4590175337600792,0.8333701657458563,0.01993749147101287,55.07966959067511
27,False,False,True,False,True,False,True,False,0.4668817109274888,0.6154133582438113,0.9080052545678913,49228,196912,0.25,0.9080052545678913,0.14853164731632246,0.44112354364040246,0.5331182890725112,0.29259189632408,82.74402748550307
0,False,True,True,False,True,False,True,False,0.471024288143723,0.60633652327418,0.9080546809613008,49228,98456,0.5,0.9080546809613008,0.13531223513045698,0.43703039281757783,0.528975711856277,0.30171815768712085,82.61823426333783
2,False,True,True,False,True,False,False,False,0.313596564795867,0.49398989423469225,0.7276495630741654,80853,161706,0.5,0.7276495630741654,0.18039332943882525,0.4140529982782984,0.686403435204133,0.23365966883947314,60.32210461696786
29,False,False,True,False,True,False,False,False,0.31768977569649465,0.5009313926688347,0.729395058222096,80853,323412,0.25,0.729395058222096,0.18324161697234004,0.4117052825256014,0.6823102243035053,0.22846366555326136,60.3398964079522
30,False,False,True,False,False,True,True,False,0.0001566170712607674,0.3760674462877346,0.3986697771380355,49228,196912,0.25,0.3986697771380355,0.37591082921647384,0.39851316006677473,0.9998433829287392,0.02260233085030089,39.857558380738666
37,False,False,False,True,True,False,False,True,0.1502851392150285,0.5422745358090186,0.5472505762265394,31625,126500,0.25,0.5472505762265394,0.3919893965939901,0.3969654370115109,0.8497148607849715,0.004976040417520755,46.71748786937678
33,False,False,True,False,False,False,True,False,0.267677456300619,0.4280179000218293,0.6494082840236686,98456,196912,0.5,0.6494082840236686,0.1603404437212103,0.38173082772304956,0.732322543699381,0.22139038400183925,52.12605169775443
42,False,False,False,True,False,False,True,False,0.5870158974718117,0.925285890822071,0.9202492579269131,98456,196912,0.5,0.925285890822071,0.3382699933502593,0.33323336045510143,0.4129841025281883,-0.005036632895157878,80.68914963436312
43,False,False,False,True,False,False,False,True,0.06742640075973409,0.3534741761648147,0.3764957861898776,63250,126500,0.5,0.3764957861898776,0.2860477754050806,0.3090693854301435,0.932573599240266,0.023021610025062922,33.14155426251946
31,False,False,True,False,False,True,False,True,0.0403245635603639,0.25060956217534186,0.33568460720842597,31625,126500,0.25,0.33568460720842597,0.21028499861497796,0.29536004364806207,0.959675436439636,0.0850750450330841,30.777076544111413
34,False,False,True,False,False,False,False,True,0.1543257989088075,0.340892393593574,0.43177024904644384,63250,126500,0.5,0.43177024904644384,0.1865665946847665,0.27744445013763636,0.8456742010911925,0.09087785545286986,32.80748659231221
6,False,True,True,False,False,False,True,False,0.682626042800145,0.8129823357914594,0.9486743371685844,98456,98456,1.0,0.9486743371685844,0.13035629299131435,0.26604829436843935,0.31737395719985495,0.135692001377125,83.82801686557568
8,False,True,True,False,False,False,False,False,0.6391292126058031,0.774686276408816,0.8651528771120752,161706,161706,1.0,0.8651528771120752,0.1355570638030129,0.2260236645062721,0.36087078739419687,0.09046660070325918,62.63285153624124
44,False,False,False,True,False,False,False,False,0.49913461944362364,0.7066584305544225,0.7120253164556962,161706,323412,0.5,0.7120253164556962,0.20752381111079882,0.21289069701207258,0.5008653805563763,0.005366885901273766,42.50457413838169
18,False,True,False,False,True,False,True,False,0.7753314767134325,0.8235106340529109,0.9504138777773377,98456,98456,1.0,0.9504138777773377,0.04817915733947842,0.17508240106390516,0.2246685232865675,0.12690324372442674,77.92920810744164
45,False,False,False,False,True,False,True,False,0.7747068971587509,0.8246271664651349,0.9487825356842989,98456,196912,0.5,0.9487825356842989,0.049920269306384046,0.17407563852554808,0.22529310284124915,0.12415536921916404,77.2662972502132
28,False,False,True,False,True,False,False,True,0.37169811320754725,0.47925128024015534,0.5407401329285304,31625,126500,0.25,0.5407401329285304,0.10755316703260809,0.16904201972098315,0.6283018867924528,0.06148885268837506,26.904585721357677
1,False,True,True,False,True,False,False,True,0.3763026945826683,0.4752369983166475,0.5412486526821988,31625,63250,0.5,0.5412486526821988,0.09893430373397921,0.1649459580995305,0.6236973054173317,0.06601165436555129,26.446475985520088
40,False,False,False,True,False,True,False,True,0.02956627978008552,0.0007515030060120239,0.19062866901483616,31625,126500,0.25,0.19062866901483616,-0.028814776774073497,0.16106238923475064,0.9704337202199145,0.18987716600882415,16.596948959919853
19,False,True,False,False,True,False,False,True,0.5351045961215453,0.6743449467319321,0.6797299002902941,63250,63250,1.0,0.6797299002902941,0.13924035061038686,0.14462530416874886,0.46489540387845474,0.005384953558361993,31.10921359131368
24,False,True,False,False,False,False,True,False,0.836774847079908,0.9109086869584536,0.9726439487690279,196912,98456,2.0,0.9726439487690279,0.0741338398785456,0.13586910168911992,0.163225152920092,0.061735261810574316,83.24029676702804
46,False,False,False,False,True,False,False,True,0.5263554453269708,0.6638591117917304,0.6621625907951915,63250,126500,0.5,0.6638591117917304,0.13750366646475964,0.1358071454682207,0.47364455467302924,-0.0016965209965389416,28.67279780340183
52,False,False,False,False,False,False,False,True,0.4973100684854967,0.636826136259156,0.6263604473360718,126500,126500,1.0,0.636826136259156,0.13951606777365927,0.12905037885057508,0.5026899315145033,-0.010465688923084193,25.671964119466715
49,False,False,False,False,False,True,False,True,0.45459288372578344,0.5949344133470351,0.5815428688356865,63250,126500,0.5,0.5949344133470351,0.14034152962125168,0.12694998510990307,0.5454071162742166,-0.013391544511348608,23.276187882755075
32,False,False,True,False,False,True,False,False,0.0001892147587511826,0.1342787502769776,0.12588621822583435,80853,323412,0.25,0.1342787502769776,0.13408953551822642,0.12569700346708315,0.9998107852412488,-0.008392532051143264,12.572079169635398
16,False,True,False,True,False,False,False,True,0.6898501554990104,0.8029710711493355,0.8033804022250749,63250,63250,1.0,0.8033804022250749,0.11312091565032512,0.11353024672606449,0.3101498445009896,0.000409331075739372,36.60496651504923
51,False,False,False,False,False,False,True,False,0.7360739869560569,0.7857810843949375,0.8402974432107568,196912,196912,1.0,0.8402974432107568,0.04970709743888069,0.10422345625469998,0.26392601304394314,0.05451635881581929,39.489649031809144
