,exclude_plaintext_nonbase32,exclude_plaintext_base32,exclude_encrypted_v1,exclude_encrypted_v2,exclude_encrypted_base32,exclude_encrypted_nonbase32,exclude_webp,exclude_nonwebp,baseline,advanced-only,fourier-only,baseline-and-fourier,advanced-and-fourier,advanced,fourier,n_encrypted,n_non_encrypted,ratio_encrypt_nonencrypt,best_f1_score,advanced-f1_score,fourier-f1_score,baseline-f1_score,improvement_in_advanced,improvement_in_fourier,room_for_improvement,fourier_minus_advanced,percentage_of_room_filled
39,False,False,False,True,False,True,True,False,0.004985500294143154,0.8991838384627653,0.6346407638853195,0.695429966503619,0.9197308888427578,0.8990140610168542,0.9210263011386062,49228,196912,0.25,0.9210263011386062,0.8990140610168542,0.9210263011386062,0.004985500294143154,0.8940285607227111,0.916040800844463,0.9950144997058569,0.022012240121751958,92.06306049964702
41,False,False,False,True,False,True,False,False,0.005733489167444934,0.7082827141557809,0.0,0.37515759491204537,0.752998068431636,0.7105853886735158,0.7594919428756088,80853,323412,0.25,0.7594919428756088,0.7105853886735158,0.7594919428756088,0.005733489167444934,0.7048518995060709,0.7537584537081639,0.994266510832555,0.048906554202093,75.81050407470727
35,False,False,True,False,False,False,False,False,0.0,0.2688820198630124,0.254840421172,0.3312370483864823,0.4658110040451514,0.28213555059742457,0.47517959290817724,161706,323412,0.5,0.47517959290817724,0.28213555059742457,0.47517959290817724,0.0,0.28213555059742457,0.47517959290817724,1.0,0.19304404231075267,47.51795929081772
10,False,True,False,True,True,False,False,True,0.15925326616877622,0.5469359141863114,0.05514630969690416,0.2660116614076201,0.5897410755925708,0.6021077945939697,0.6248840790211843,31625,63250,0.5,0.6248840790211843,0.6021077945939697,0.6248840790211843,0.15925326616877622,0.44285452842519346,0.46563081285240804,0.8407467338312238,0.022776284427214577,55.383005858442196
0,False,True,True,False,True,False,True,False,0.4650662673838566,0.615602034073002,0.8638785784456258,0.8660255862777493,0.894371527174887,0.6058537711983178,0.9058139801996675,49228,98456,0.5,0.9058139801996675,0.6058537711983178,0.9058139801996675,0.4650662673838566,0.14078750381446126,0.44074771281581093,0.5349337326161434,0.2999602090013497,82.3929556022375
27,False,False,True,False,True,False,True,False,0.46643683043896933,0.6157965031775413,0.7708497058557602,0.8615741976750753,0.894699659067579,0.60598329439206,0.9062688410166432,49228,196912,0.25,0.9062688410166432,0.60598329439206,0.9062688410166432,0.46643683043896933,0.13954646395309067,0.43983201057767385,0.5335631695610307,0.3002855466245832,82.43297807446667
2,False,True,True,False,True,False,False,False,0.3158648932504996,0.47797774519838243,0.4916351345517094,0.6069234719718356,0.7126811947819327,0.4979935001353959,0.7277706987836496,80853,161706,0.5,0.7277706987836496,0.4979935001353959,0.7277706987836496,0.3158648932504996,0.1821286068848963,0.41190580553315004,0.6841351067495004,0.22977719864825374,60.20825440317178
29,False,False,True,False,True,False,False,False,0.3161555930341802,0.4784163903778846,0.4146490072271313,0.6071164209594275,0.7126214261832262,0.4978219351291845,0.7279860997112685,80853,323412,0.25,0.7279860997112685,0.4978219351291845,0.7279860997112685,0.3161555930341802,0.18166634209500426,0.41183050667708826,0.6838444069658198,0.230164164582084,60.22283760488116
37,False,False,False,True,True,False,False,True,0.14984981305746609,0.44741510150508923,0.0,0.21937216515765387,0.49796661560587097,0.5371859627624753,0.5527890812526528,31625,126500,0.25,0.5527890812526528,0.5371859627624753,0.5527890812526528,0.14984981305746609,0.38733614970500924,0.4029392681951867,0.8501501869425339,0.015603118490177481,47.39624532040755
30,False,False,True,False,False,True,True,False,0.0003884050663469843,0.36260158226939737,0.0,0.05687521087597072,0.3957694485064132,0.3810221400852333,0.39877890591267096,49228,196912,0.25,0.39877890591267096,0.3810221400852333,0.39877890591267096,0.0003884050663469843,0.3806337350188863,0.398390500846324,0.999611594933653,0.01775676582743768,39.854529785918125
33,False,False,True,False,False,False,True,False,0.2674063182512559,0.4122048552104035,0.5987830807950711,0.6244268194793912,0.6409730406960138,0.43073855374960257,0.6458144157581509,98456,196912,0.5,0.6458144157581509,0.43073855374960257,0.6458144157581509,0.2674063182512559,0.1633322354983467,0.378408097506895,0.7325936817487442,0.21507586200854834,51.65320244144239
42,False,False,False,True,False,False,True,False,0.5891320831186326,0.9243026715772211,0.7919979970137145,0.8151841636439414,0.919259670520704,0.9248859866246548,0.9198799102144414,98456,196912,0.5,0.9248859866246548,0.9248859866246548,0.9198799102144414,0.5891320831186326,0.3357539035060222,0.33074782709580874,0.41086791688136737,-0.005006076410213445,80.49979409594732
43,False,False,False,True,False,False,False,True,0.06777568548107823,0.29735264946660667,0.0,0.10505770455717557,0.3384981328192812,0.3581471820606976,0.376270281376619,63250,126500,0.5,0.376270281376619,0.3581471820606976,0.376270281376619,0.06777568548107823,0.29037149657961936,0.30849459589554074,0.9322243145189217,0.018123099315921376,33.09231384452149
31,False,False,True,False,False,True,False,True,0.04179331293748262,0.2546935629555327,0.0,0.10148756816988938,0.3337982322104123,0.26239712878732757,0.340798528229028,31625,126500,0.25,0.340798528229028,0.26239712878732757,0.340798528229028,0.04179331293748262,0.22060381584984495,0.2990052152915454,0.9582066870625174,0.07840139944170044,31.204667983290438
34,False,False,True,False,False,False,False,True,0.1584570312960107,0.3373418506343582,0.0,0.261679696206393,0.4283687804320798,0.35016522547901774,0.43897654606875364,63250,126500,0.5,0.43897654606875364,0.35016522547901774,0.43897654606875364,0.1584570312960107,0.19170819418300705,0.28051951477274295,0.8415429687039893,0.0888113205897359,33.333950280014164
