,exclude_plaintext_nonbase32,exclude_plaintext_base32,exclude_encrypted_v1,exclude_encrypted_v2,exclude_encrypted_base32,exclude_encrypted_nonbase32,exclude_webp,exclude_nonwebp,baseline-f1_score,baseline-accuracy_score,baseline-precision_score,baseline-recall_score,advanced-only-f1_score,advanced-only-accuracy_score,advanced-only-precision_score,advanced-only-recall_score,fourier-only-f1_score,fourier-only-accuracy_score,fourier-only-precision_score,fourier-only-recall_score,baseline-and-fourier-f1_score,baseline-and-fourier-accuracy_score,baseline-and-fourier-precision_score,baseline-and-fourier-recall_score,advanced-and-fourier-f1_score,advanced-and-fourier-accuracy_score,advanced-and-fourier-precision_score,advanced-and-fourier-recall_score,advanced-f1_score,advanced-accuracy_score,advanced-precision_score,advanced-recall_score,fourier-f1_score,fourier-accuracy_score,fourier-precision_score,fourier-recall_score,n_encrypted,n_non_encrypted,ratio_encrypt_nonencrypt,best_f1_score,improvement_in_advanced,improvement_in_fourier,room_for_improvement,fourier_minus_advanced,percentage_of_room_filled
39,False,False,False,True,False,True,True,False,0.005369246025104455,0.772763467945072,0.02153530886079672,0.0030673654110787074,0.899791523535499,0.957503859592102,0.851472486020756,0.9539286360897383,0.6348816198298752,0.8405175916145284,0.5856063379584591,0.6932436123720223,0.6960877472472847,0.8590030064191112,0.6117969030084569,0.807345269512091,0.9212607796439183,0.9664743641829853,0.8687167887165976,0.9805801130193192,0.8993827920048897,0.9573129113512635,0.8507735324117845,0.9538880145814872,0.9224333339912306,0.9669537661493459,0.8693507262628575,0.9824286578055741,49228,196912,0.25,0.9224333339912306,0.8940135459797852,0.9170640879661262,0.9946307539748955,0.023050541986340933,92.2014611252683
41,False,False,False,True,False,True,False,False,0.006181946359835946,0.7820810606903887,0.03516897154532902,0.003388860404152329,0.7080881007256867,0.8705329425005874,0.6448320281505426,0.7851161704949349,0.0,0.7999901055001051,0.0,0.0,0.3772531043926567,0.8176740504372132,0.5953315799563423,0.27616783933400096,0.7533277521367563,0.8862280929588267,0.6650568515235786,0.8686257337751636,0.7106586295069961,0.8715792858644701,0.6467856212529035,0.7885421595963394,0.7600906420781566,0.8890628671787072,0.6697103318847825,0.8786810359765473,80853,323412,0.25,0.7600906420781566,0.7044766831471602,0.7539086957183206,0.9938180536401641,0.04943201257116048,75.85983097780307
35,False,False,True,False,False,False,False,False,0.0,0.6666666666666666,0.0,0.0,0.2691485837005067,0.6941239047467174,0.6611662710510409,0.16896715141746801,0.2561515671060872,0.6968943625375177,0.7038723885757954,0.15656810394029608,0.3314632602889468,0.7219851660635672,0.8351923770429813,0.20676413765636786,0.46616865244803984,0.7401766192385374,0.7396461608523619,0.340339888743283,0.28328134018852025,0.6952390967781705,0.6554784489579518,0.18068594896740994,0.4762173476503884,0.7437448226173393,0.7472120502401914,0.34947992893068286,161706,323412,0.5,0.4762173476503884,0.28328134018852025,0.4762173476503884,1.0,0.19293600746186818,47.621734765038845
10,False,True,False,True,True,False,False,True,0.16107905305412512,0.6771541501976285,0.6017361763094353,0.09299604743083004,0.5518787691987341,0.7641001317523057,0.7522458903270378,0.43582608695652175,0.05786941771576317,0.6661396574440054,0.48750688849857876,0.03076679841897233,0.2683822024613592,0.6891910408432148,0.623174360205951,0.17103557312252965,0.5962143943139605,0.785844532279315,0.8023638299729798,0.47437154150197625,0.6068915013830228,0.78298814229249,0.7658373326616225,0.5026086956521739,0.6293732276367544,0.7956258234519105,0.795594399683411,0.5206324110671936,31625,63250,0.5,0.6293732276367544,0.4458124483288977,0.4682941745826293,0.8389209469458749,0.02248172625373157,55.82101344441009
27,False,False,True,False,True,False,True,False,0.46627877603003354,0.8020313642642398,0.5059465349208255,0.43239628625164767,0.6156666606013295,0.8672544080604533,0.7313433367485123,0.531608060216723,0.7718771452985198,0.9114975217355976,0.7966081607927372,0.7486390752788473,0.8615651196728148,0.9430892987730559,0.8389272150105302,0.8854718252763456,0.8948176474740613,0.9571950922239376,0.8797674784643768,0.910396611628113,0.6059772863925299,0.8627325912082554,0.7114201095213868,0.5277687726694498,0.9070486544779095,0.9622816283415944,0.8942847419951587,0.9201877940084306,49228,196912,0.25,0.9070486544779095,0.13969851036249636,0.44076987844787596,0.5337212239699665,0.3010713680853796,82.58428907310588
0,False,True,True,False,True,False,True,False,0.466378689009196,0.6698626609624281,0.5055908558574055,0.43284278859391456,0.6156859981405496,0.7787031734368018,0.7310001235084131,0.5318313031348072,0.8638427903682177,0.9057176097805015,0.8328500398120987,0.8972332292108012,0.8660122468308812,0.9080807725283208,0.8422649546714547,0.8911391549723537,0.8946123482510254,0.9285095213686299,0.8794475988134733,0.9103151272099217,0.6063017857491251,0.7715798758895458,0.7124778975552766,0.527687333643029,0.9070912910968106,0.9371699112734856,0.894405023116288,0.9201469785535231,49228,98456,0.5,0.9070912910968106,0.1399230967399291,0.44071260208761465,0.533621310990804,0.30078950534768556,82.58901828139497
2,False,True,True,False,True,False,False,False,0.31645793336232336,0.664700133175056,0.49372921295996414,0.23287929593838758,0.48129512624034165,0.7313024948602631,0.6750632607190103,0.37401205736143944,0.49261384923476753,0.7206865040170689,0.6244134426443209,0.40676291231464956,0.6069665844521474,0.7813274274075912,0.7570498592008029,0.5065489704632085,0.7125776201166727,0.8315956047751104,0.8265066309698877,0.6262724598387204,0.5000299592009758,0.7370784107719985,0.6828676623863636,0.3944318916563764,0.7285880132542074,0.8414612526303774,0.848477344882939,0.6384056244587885,80853,161706,0.5,0.7285880132542074,0.18357202583865245,0.41213007989188405,0.6835420666376766,0.2285580540532316,60.293301613335935
29,False,False,True,False,True,False,False,False,0.31658318235268146,0.798825028137484,0.49377974542572806,0.23297839987575583,0.48085742489896355,0.8386553374642871,0.6744580510504357,0.3736534433878004,0.41625502765848965,0.8292629834390809,0.658165043689961,0.304404366184272,0.6071822815068992,0.8688582983933806,0.7572081690710422,0.5067839949714911,0.7126042623031058,0.8990068395730523,0.8269141724291458,0.6260869555573481,0.49991998199551213,0.8421975684266508,0.6825892091564899,0.39439477825636465,0.7285628953504069,0.9048742780107109,0.8485070044861756,0.6383561524181859,80853,323412,0.25,0.7285628953504069,0.18333679964283067,0.4119797129977254,0.6834168176473185,0.22864291335489473,60.28234927199729
37,False,False,False,True,True,False,False,True,0.15197948983767812,0.8065201581027669,0.6161125663439386,0.08670355731225296,0.4574834877496981,0.8449644268774703,0.7620939874227262,0.3268616600790514,0.0,0.8,0.0,0.0,0.22292202231736297,0.8109849802371543,0.6272582835353886,0.13555731225296444,0.5073462449886104,0.854102766798419,0.7813678697927149,0.3756205533596838,0.543786161220552,0.859105138339921,0.7715217972270124,0.41985770750988144,0.5594993621674293,0.8626403162055336,0.7800801182732379,0.4361739130434782,31625,126500,0.25,0.5594993621674293,0.3918066713828739,0.40751987232975123,0.8480205101623219,0.015713200946877337,48.05542642497488
30,False,False,True,False,False,True,True,False,0.0003879610954087529,0.7908629235394491,0.004320982154835786,0.0002031364269269348,0.36646716260390316,0.8173884781018932,0.59844199332983,0.2641384461385891,0.0,0.7999918745429431,0.0,0.0,0.05999175567974643,0.8032339319086699,0.6690015172905519,0.03181047862836798,0.3981974526124148,0.8012350694726578,0.5047295664431038,0.32881692023644576,0.3832173570808639,0.8133135613878281,0.5648042314660323,0.2900180360074348,0.40085651641284076,0.8018079141951734,0.5069019002449042,0.33151864668149533,49228,196912,0.25,0.40085651641284076,0.3828293959854552,0.40046855531743203,0.9996120389045913,0.01763915933197685,40.062398183627224
