,exclude_plaintext_nonbase32,exclude_plaintext_base32,exclude_encrypted_v1,exclude_encrypted_v2,exclude_encrypted_base32,exclude_encrypted_nonbase32,exclude_webp,exclude_nonwebp,baseline-f1_score,baseline-accuracy_score,baseline-precision_score,baseline-recall_score,advanced-only-f1_score,advanced-only-accuracy_score,advanced-only-precision_score,advanced-only-recall_score,fourier-only-f1_score,fourier-only-accuracy_score,fourier-only-precision_score,fourier-only-recall_score,baseline-and-fourier-f1_score,baseline-and-fourier-accuracy_score,baseline-and-fourier-precision_score,baseline-and-fourier-recall_score,advanced-and-fourier-f1_score,advanced-and-fourier-accuracy_score,advanced-and-fourier-precision_score,advanced-and-fourier-recall_score,advanced-f1_score,advanced-accuracy_score,advanced-precision_score,advanced-recall_score,fourier-f1_score,fourier-accuracy_score,fourier-precision_score,fourier-recall_score,n_encrypted,n_non_encrypted,ratio_encrypt_nonencrypt,best_f1_score,improvement_in_advanced,improvement_in_fourier,room_for_improvement,fourier_minus_advanced,percentage_of_room_filled
37,False,False,False,True,True,False,False,True,0.7092239284944988,0.9009454545454545,0.8589509312515509,0.6039841897233202,0.8695556440546568,0.9510640316205535,0.9313781374126069,0.8154624505928855,0.37274645258341976,0.8361549407114625,0.7949465702236617,0.243699604743083,0.6905842930652756,0.8973407114624505,0.8694436052726816,0.5728063241106719,0.8896114282341431,0.9581407114624506,0.9413592539306578,0.843288537549407,0.8739150493921739,0.9525754940711464,0.9331899732172426,0.8217549407114625,0.8915747213924059,0.9588679841897234,0.9429489930593876,0.8455335968379446,31625,126500,0.25,0.8915747213924059,0.16469112089767513,0.18235079289790712,0.2907760715055012,0.017659672000231996,62.71176027442038
10,False,True,False,True,True,False,False,True,0.7135629293941554,0.8373438735177865,0.8638190566755257,0.6078418972332015,0.867392853944221,0.9169749670619236,0.9274943877906713,0.8146086956521739,0.40483841961034617,0.734197628458498,0.7980285136707683,0.2712411067193676,0.6938344858666802,0.83066139657444,0.8731224570695921,0.5756521739130435,0.8886285998449711,0.9295072463768117,0.9386260857521282,0.8436996047430829,0.8756060606634339,0.9217918313570486,0.931846716467598,0.8257707509881425,0.8906563216949064,0.9308036890645586,0.9409568905119092,0.8454703557312253,31625,63250,0.5,0.8906563216949064,0.1620431312692785,0.17709339230075094,0.28643707060584456,0.015050261031472445,61.826282445278395
43,False,False,False,True,False,False,False,True,0.6735739663820668,0.8177444005270091,0.8357683675316638,0.5641106719367588,0.8149388414342994,0.8877839262187088,0.9049324917556328,0.7412490118577075,0.22538806260972205,0.6986824769433465,0.7882198025731595,0.1315889328063241,0.6635332845590145,0.8171225296442687,0.8579674747017785,0.5410118577075099,0.8353565477620657,0.8989776021080369,0.9145187862697327,0.7688221343873518,0.8297231352378676,0.8957997364953887,0.9111620592699599,0.7616758893280633,0.8413671228045867,0.9022819499341239,0.9167767165480015,0.7774387351778657,63250,126500,0.5,0.8413671228045867,0.15614916885580077,0.1677931564225199,0.3264260336179332,0.011643987566719138,51.403117135845285
40,False,False,False,True,False,True,False,True,0.6331649180648842,0.8793612648221345,0.8078290257375365,0.5207272727272727,0.7557464432285331,0.9140679841897233,0.8757231142321293,0.664695652173913,0.022669408049073213,0.8011509881422926,0.6644452065638665,0.011541501976284585,0.6250423989891993,0.88101185770751,0.8451699848145756,0.495905138339921,0.7747993636043585,0.9196521739130434,0.8815825133512512,0.691098814229249,0.7808307250127161,0.9215683794466404,0.8850556032866235,0.698592885375494,0.7860956734154445,0.9231177865612649,0.8861161617286643,0.7063715415019762,31625,126500,0.25,0.7860956734154445,0.14766580694783193,0.15293075535056033,0.3668350819351158,0.005264948402728398,41.68923935623204
31,False,False,True,False,False,True,False,True,0.5704856611982891,0.8680411067193676,0.8173148248797524,0.4381660079051383,0.636478039290357,0.8848885375494072,0.8638228461961031,0.5038735177865613,0.018151069166551966,0.8004996047430831,0.5641084720306218,0.009233201581027669,0.4572952835435965,0.8544632411067192,0.8994705879646467,0.30662450592885376,0.6825803946655343,0.8979415019762845,0.9028845625744536,0.5487114624505929,0.6667608000476878,0.8937549407114626,0.8945019741421252,0.5314782608695652,0.6991169131976941,0.9025517786561265,0.9138935004783505,0.5661027667984189,31625,126500,0.25,0.6991169131976941,0.09627513884939864,0.12863125199940495,0.42951433880171086,0.032356113150006305,29.94806933763129
34,False,False,True,False,False,False,False,True,0.6341832552947266,0.8063399209486166,0.856100896695845,0.5036679841897234,0.7099618858614553,0.8406903820816863,0.9028948889368753,0.5849802371541502,0.09600446520011552,0.6776916996047431,0.7377651340848622,0.05135177865612648,0.5665864799615697,0.7909776021080369,0.9172821385920171,0.409897233201581,0.7379790538456978,0.8547299077733861,0.9252981564993759,0.6137391304347826,0.7278448492144329,0.849949934123847,0.9203283062678723,0.6019604743083005,0.7454133884185393,0.8584927536231884,0.9310439392009249,0.6215177865612648,63250,126500,0.5,0.7454133884185393,0.0936615939197063,0.11123013312381269,0.36581674470527337,0.017568539204106393,30.405970949587665
32,False,False,True,False,False,True,False,False,0.7251331195760804,0.9073305876096125,0.8913174915962816,0.611183286296231,0.7495351010496677,0.9142245804113639,0.9009025312601588,0.6417325425118918,0.1255260693171792,0.8127441158645938,0.9484160738286098,0.06801269762744008,0.7075832985474969,0.9071129086119253,0.9549828032711314,0.5620694252256926,0.8037022978739519,0.9312975399799637,0.9377111474897841,0.7032144917489935,0.78572458821791,0.9254251542923576,0.9236371056910061,0.6836481333331956,0.8261027903112922,0.9382682151559001,0.9460607605834669,0.7331453791988964,80853,323412,0.25,0.8261027903112922,0.06059146864182963,0.10096967073521179,0.2748668804239196,0.040378202093382165,36.73402578713342
35,False,False,True,False,False,False,False,False,0.7761190947366791,0.870248059997613,0.9133934890314283,0.6747244650156818,0.8012385994661784,0.8829604311829184,0.9232556553341021,0.7077102767609533,0.40012692578768194,0.7491517501582805,0.9858295907390391,0.25108529255558276,0.7782753302930226,0.8769268497426296,0.9737987521825167,0.6482627863657411,0.8613823768387888,0.9160595953916157,0.9580735215357435,0.7824199362265908,0.833965576628759,0.9008241259597016,0.9434943644430864,0.7472264231023056,0.8731077550000454,0.9225775948434771,0.9622402865315742,0.7990921638100008,161706,323412,0.5,0.8731077550000454,0.05784648189207997,0.09698866026336639,0.22388090526332094,0.03914217837128642,43.321541937349096
28,False,False,True,False,True,False,False,True,0.6963622388774574,0.9000094861660081,0.8866825238484932,0.5733438735177867,0.7814748548050516,0.9249075098814229,0.9348195830213379,0.6713992094861659,0.14780271660899433,0.8112379446640317,0.7613669252149279,0.08186561264822136,0.6685167004681265,0.8962719367588934,0.9262207346924096,0.5230355731225297,0.7908283300616911,0.9280063241106719,0.9438645837916557,0.6805375494071146,0.7855826719256637,0.9263747035573122,0.9406888614902289,0.674403162055336,0.7910144855561281,0.9281075098814229,0.9447584102651856,0.6803162055335968,31625,126500,0.25,0.7910144855561281,0.08922043304820626,0.09465224667867067,0.3036377611225426,0.0054318136304644105,31.172752140163087
1,False,True,True,False,True,False,False,True,0.6942360293172181,0.8323056653491436,0.8849726152914522,0.5711620553359684,0.7795898248647063,0.8736442687747037,0.9312299761483928,0.6704505928853755,0.15245503966157425,0.6859130434782609,0.7583794612854167,0.08477470355731226,0.6705979187195326,0.8274361001317523,0.9219229518784354,0.5269565217391304,0.7886452343678501,0.8785981554677207,0.9395455743887613,0.6795256916996048,0.7841579868452055,0.8762160737812913,0.9361755755411135,0.6746561264822135,0.7885534102032714,0.8787878787878787,0.9420204497667484,0.678102766798419,31625,63250,0.5,0.7886452343678501,0.08992195752798748,0.09431738088605335,0.30576397068278194,0.004395423358065864,30.846466532809362
29,False,False,True,False,True,False,False,False,0.8244174560596033,0.9370635597936996,0.9325387308326025,0.7387852530165488,0.8495259254061989,0.9452141540820996,0.9424740500707302,0.7732675230750268,0.6483647631022615,0.8952790867376598,0.9870083543259233,0.48276509706653614,0.8581868822667531,0.949654310909923,0.9826815528445714,0.7617034532793785,0.9140864003321795,0.967679616093404,0.9757922569058906,0.859733102161435,0.8791474946778328,0.9554673295981597,0.9613358477501995,0.80991427005756,0.9161075932748206,0.9684192299605456,0.977248507031376,0.8621696282697899,80853,323412,0.25,0.9161075932748206,0.05473003861822956,0.09169013721521735,0.17558254394039674,0.03696009859698779,52.22053124275411
2,False,True,True,False,True,False,False,False,0.8253238571187234,0.8956130304362327,0.933123298059536,0.7398611645399105,0.8501713407255961,0.9091602483298269,0.9441796481656779,0.7731933345181046,0.668367399789252,0.8320449901088722,0.9776279957611307,0.5077610320160918,0.8612029489532349,0.9175252187077065,0.9807341337943803,0.767664667049633,0.9138122576234318,0.9460048922818636,0.9764312749582708,0.8587436330494892,0.8786853039856307,0.9254861728175351,0.9607240779737228,0.8095556231948539,0.9156926147770589,0.9471386382513469,0.9775122082488746,0.8612296663820999,80853,161706,0.5,0.9156926147770589,0.05336144686690736,0.09036875765833552,0.17467614288127664,0.03700731079142816,51.73503156624948
30,False,False,True,False,False,True,True,False,0.8406232052649015,0.9420614284553507,0.9343417759260312,0.763996048027382,0.8545646593524754,0.9463394815958399,0.9329835304841648,0.7883519042415207,0.5172067064028105,0.8619972373446005,0.8605434140162316,0.3703375507446468,0.9093529507139928,0.9654911838790932,0.9578951075415336,0.8655032033694724,0.9062341581434656,0.9644064353619891,0.9576804859692695,0.8600389193168496,0.8863749618927115,0.9574876086779881,0.9521399841130382,0.8291215526626555,0.9297927305944615,0.972958478914439,0.9670237595808933,0.8953237789845799,49228,196912,0.25,0.9297927305944615,0.04575175662780995,0.08916952532956002,0.15937679473509847,0.04341776870175007,55.94887604420044
33,False,False,True,False,False,False,True,False,0.8740835461153779,0.922144585860895,0.9482003848640274,0.8107276799908165,0.877632379073372,0.9239084798622657,0.9458319357201393,0.8186093522951126,0.695724653094351,0.8414553619947011,0.9629453240390946,0.5455631720110234,0.9462561064000848,0.9653212284746232,0.978706247109937,0.915891348059182,0.9482033730942785,0.9664655610863937,0.9772387002611772,0.9208478911017595,0.9124710632204097,0.9446283955881848,0.9643918048178154,0.865858860549254,0.9599568729139861,0.9738901996964018,0.9819743683857853,0.9389067274646179,98456,196912,0.5,0.9599568729139861,0.038387517105031854,0.08587332679860826,0.12591645388462214,0.04748580969357641,68.19865406731864
0,False,True,True,False,True,False,True,False,0.9068601175137154,0.9411107376810127,0.9589861042706115,0.8601200591702364,0.8986645145020734,0.9362354678017188,0.95548569451063,0.8482366359663551,0.9405467597540806,0.9616139806066549,0.9720326699184506,0.9110665982901539,0.9866654962367732,0.9911838791832827,0.9948988369712481,0.9785690698204869,0.9887366986577263,0.9925448959457391,0.9958788025148113,0.9816973840000405,0.937406367412731,0.9598195992110231,0.9749042473267211,0.9026974699349155,0.9897662932823048,0.9932220166795226,0.9962339304091733,0.9833834014880454,49228,98456,0.5,0.9897662932823048,0.030546249899015554,0.08290617576858939,0.09313988248628458,0.05235992586957383,89.01254065979505
27,False,False,True,False,True,False,True,False,0.9070488530630445,0.9648411473145364,0.9623695502299642,0.8577434842950147,0.9005754401007785,0.9625375802388885,0.9596120886677781,0.8483993180092778,0.9346844118915305,0.9749370277078085,0.9759050585419594,0.8968272060116862,0.9864363475753958,0.9946209474282929,0.9949786145548216,0.9780409159357817,0.9886175048617745,0.9954781831478021,0.9954697921962075,0.9818599443104871,0.9381169654956214,0.976168034451938,0.9757967998155225,0.9032460913816811,0.9893041314778943,0.9957503859592102,0.996047791915991,0.9826521586314463,49228,196912,0.25,0.9893041314778943,0.0310681124325769,0.08225527841484981,0.0929511469369555,0.05118716598227291,88.49302146926685
16,False,True,False,True,False,False,False,True,0.8682906719262686,0.8782608695652174,0.9457456971276208,0.8025770750988143,0.9366012725366822,0.9385533596837945,0.9673165111259682,0.9077786561264822,0.7559971039199038,0.7977233201581028,0.9523333682693862,0.6268932806324111,0.8598001942630791,0.8720079051383399,0.9503867385451009,0.7850276679841897,0.9457608882473363,0.9471620553359685,0.9715099151786338,0.9213438735177866,0.9396097374540673,0.9413754940711463,0.9687860243474953,0.9121422924901186,0.9469921212005458,0.9483162055335967,0.9718945624274378,0.9233359683794466,63250,63250,1.0,0.9469921212005458,0.07131906552779865,0.07870144927427714,0.13170932807373137,0.0073823837464784825,59.75389171389575
49,False,False,False,False,False,True,False,True,0.7829184397924265,0.8654861660079052,0.8472049804957213,0.7277470355731226,0.8109740150360825,0.8826982872200263,0.8760473460377005,0.7549249011857706,0.6957902193921113,0.7582555994729908,0.5992778790018386,0.8293754940711462,0.8120058066759868,0.8801844532279315,0.8511507395384887,0.7763320158102767,0.8421939858897185,0.900300395256917,0.8914254933448404,0.7981185770750988,0.8369892222246053,0.8975335968379448,0.8909742611502596,0.7891857707509882,0.8522855650903629,0.9061818181818182,0.8968202660015315,0.8119683794466402,63250,126500,0.5,0.8522855650903629,0.05407078243217878,0.06936712529793643,0.21708156020757352,0.01529634286575765,31.95440701255673
46,False,False,False,False,True,False,False,True,0.8080135576333717,0.8818181818181816,0.8811650536573818,0.7461185770750989,0.8629704941131784,0.9147246376811594,0.9292497152617065,0.8055494071146245,0.7800536781220455,0.8580500658761527,0.8067006196951304,0.7551778656126482,0.8400607731443921,0.8988353096179182,0.8880681526691188,0.79699604743083,0.8727265728167681,0.9206534914361001,0.9378209762791313,0.8161106719367588,0.8686675702844621,0.9180974967061923,0.933081326504649,0.812600790513834,0.875307132453093,0.9221238471673254,0.9386472763410015,0.82,63250,126500,0.5,0.875307132453093,0.06065401265109038,0.06729357481972131,0.19198644236662832,0.00663956216863093,35.05121194506727
52,False,False,False,False,False,False,False,True,0.796838578028548,0.8115454545454547,0.8642841603347966,0.7391620553359683,0.8377941520289571,0.8488181818181818,0.9036989326757334,0.7808537549407115,0.7377314928350277,0.7149841897233202,0.6832120958474562,0.8017154150197628,0.8263751717675627,0.8345454545454546,0.8692769280997588,0.7875256916996047,0.8562913586892058,0.864802371541502,0.9138112853741308,0.8055889328063242,0.8522881318135809,0.8612371541501977,0.9110374095864537,0.8006719367588934,0.8625997209205567,0.8702608695652174,0.9167261619837289,0.814513833992095,126500,126500,1.0,0.8625997209205567,0.05544955378503291,0.06576114289200874,0.20316142197145204,0.010311589106975827,32.368912490309995
