,exclude_plaintext_nonbase32,exclude_plaintext_base32,exclude_encrypted_v1,exclude_encrypted_v2,exclude_encrypted_base32,exclude_encrypted_nonbase32,exclude_webp,exclude_nonwebp,baseline-f1_score,advanced-only-f1_score,fourier-only-f1_score,baseline-and-advanced-f1_score,baseline-and-fourier-f1_score,advanced-and-fourier-f1_score,advanced-f1_score,fourier-f1_score,n_encrypted,n_non_encrypted,ratio_encrypt_nonencrypt,best_f1_score,improvement_in_advanced,improvement_in_fourier,room_for_improvement,fourier_minus_advanced,percentage_of_room_filled
39,False,False,False,True,False,True,True,False,0.005284959291529782,0.8979045579687979,0.6318654685111302,0.8976769066177595,0.692892956067459,0.9206433907607866,0.8976769066177595,0.9219696104192847,49228,196912,0.25,0.9219696104192847,0.8923919473262296,0.9166846511277549,0.9947150407084702,0.02429270380152526,92.15550319565497
41,False,False,False,True,False,True,False,False,0.006413151476831361,0.7064393518415613,0.0,0.7096444671448557,0.3807212672733401,0.7515221679101277,0.7096444671448557,0.7577480442867525,80853,323412,0.25,0.7577480442867525,0.7032313156680243,0.751334892809921,0.9935868485231686,0.048103577141896725,75.61844180271488
35,False,False,True,False,False,False,False,False,0.0,0.2694327109075836,0.25693584721855783,0.28290560099469625,0.3336836052897674,0.470349584150382,0.28290560099469625,0.4792108541224792,161706,323412,0.5,0.4792108541224792,0.28290560099469625,0.4792108541224792,1.0,0.19630525312778296,47.92108541224792
10,False,True,False,True,True,False,False,True,0.16486426837342746,0.5494576655334303,0.052263969171483626,0.6051597997689643,0.26671998400479857,0.5948734483314525,0.6051597997689643,0.6252035672741372,31625,63250,0.5,0.6252035672741372,0.4402955313955368,0.4603392989007097,0.8351357316265725,0.020043767505172894,55.1214948023022
0,False,True,True,False,True,False,True,False,0.46500416356225627,0.6135734721635946,0.8623382678633873,0.60395485495756,0.8632913373503405,0.8924505097790296,0.60395485495756,0.9048452541968335,49228,98456,0.5,0.9048452541968335,0.1389506913953037,0.4398410906345772,0.5349958364377437,0.3008903992392735,82.21392778741009
27,False,False,True,False,True,False,True,False,0.4652768672697871,0.6177472809597161,0.7692307692307693,0.609178900569629,0.8578618330515471,0.8934106986726015,0.609178900569629,0.9032900501872062,49228,196912,0.25,0.9032900501872062,0.14390203329984186,0.4380131829174191,0.5347231327302129,0.2941111496175772,81.91401420787466
2,False,True,True,False,True,False,False,False,0.3153177257525084,0.4763085136809992,0.48662351993796416,0.49480210420841686,0.6077562164225112,0.711173262480772,0.49480210420841686,0.7279654843951364,80853,161706,0.5,0.7279654843951364,0.17948437845590848,0.41264775864262804,0.6846822742474916,0.23316338018671956,60.26850324059485
29,False,False,True,False,True,False,False,False,0.3178749831240718,0.4762119503945885,0.41589692900235187,0.49459844764771105,0.6087241133063556,0.7119469778507902,0.49459844764771105,0.7290372009874861,80853,323412,0.25,0.7290372009874861,0.17672346452363924,0.41116221786341434,0.6821250168759282,0.2344387533397751,60.27666596168847
37,False,False,False,True,True,False,False,True,0.15442981477348808,0.4592645356602262,0.0,0.5443601583113457,0.2269547969516651,0.5043643591737966,0.5443601583113457,0.5652563789027472,31625,126500,0.25,0.5652563789027472,0.3899303435378576,0.4108265641292591,0.845570185226512,0.020896220591401504,48.58574383381394
30,False,False,True,False,False,True,True,False,0.0004689698296076286,0.3556449296179259,0.0,0.3777268760907504,0.10606517803258902,0.39788401641370447,0.3777268760907504,0.40148111577388296,49228,196912,0.25,0.40148111577388296,0.37725790626114275,0.4010121459442753,0.9995310301703924,0.02375423968313256,40.120029677909436
