,exclude_plaintext_nonbase32,exclude_plaintext_base32,exclude_encrypted_v1,exclude_encrypted_v2,exclude_encrypted_base32,exclude_encrypted_nonbase32,exclude_webp,exclude_nonwebp,baseline-f1_score,baseline-accuracy_score,baseline-precision_score,baseline-recall_score,advanced-only-f1_score,advanced-only-accuracy_score,advanced-only-precision_score,advanced-only-recall_score,fourier-only-f1_score,fourier-only-accuracy_score,fourier-only-precision_score,fourier-only-recall_score,baseline-and-fourier-f1_score,baseline-and-fourier-accuracy_score,baseline-and-fourier-precision_score,baseline-and-fourier-recall_score,advanced-and-fourier-f1_score,advanced-and-fourier-accuracy_score,advanced-and-fourier-precision_score,advanced-and-fourier-recall_score,advanced-f1_score,advanced-accuracy_score,advanced-precision_score,advanced-recall_score,fourier-f1_score,fourier-accuracy_score,fourier-precision_score,fourier-recall_score,n_encrypted,n_non_encrypted,ratio_encrypt_nonencrypt,best_f1_score,improvement_in_advanced,improvement_in_fourier,room_for_improvement,fourier_minus_advanced,percentage_of_room_filled
39,False,False,False,True,False,True,True,False,0.005335209206231711,0.772747217030958,0.021425646510019575,0.003047056720215545,0.8998453895224378,0.9575282359632731,0.8515545506767308,0.9539489612866998,0.6347785417745353,0.8404850897863005,0.5855091139210433,0.6931420235259358,0.6962156306392784,0.8590517591614528,0.6118785977155878,0.8075484554573134,0.9213157563566707,0.9665028032826847,0.8688412112134104,0.9805395348395767,0.8993732269450107,0.957308848622735,0.8507572643727105,0.953888033150848,0.9226274826639675,0.967039083448444,0.8695643495142391,0.9825912016099222,49228,196912,0.25,0.9226274826639675,0.8940380177387789,0.9172922734577358,0.9946647907937682,0.023254255718956895,92.22124699173405
41,False,False,False,True,False,True,False,False,0.006138902942286027,0.7821132178150471,0.035091168150818336,0.003364124001420043,0.7082025668320989,0.8705799413750881,0.6449170087696305,0.7852646493354286,0.0,0.7999901055001052,0.0,0.0,0.3771398078120137,0.8176443669375286,0.5951247846937637,0.27605662992537205,0.753437239581846,0.8862800390832746,0.6651524365153352,0.8687494846264071,0.7107327076922557,0.8715966012392862,0.6467871178258154,0.7887153434802224,0.7601540181576469,0.8890950243033654,0.669776639784198,0.8787305340224588,80853,323412,0.25,0.7601540181576469,0.7045938047499697,0.7540151152153609,0.993861097057714,0.04942131046539122,75.8672532255858
10,False,True,False,True,True,False,False,True,0.16094001827495014,0.6771014492753624,0.6017036032067457,0.09293280632411066,0.550713687771724,0.7637101449275362,0.7520679912202582,0.4344664031620553,0.056673364304263764,0.6660553359683794,0.4842883252190881,0.030102766798418973,0.26792403727425534,0.6889802371541502,0.6220340363891401,0.17075098814229248,0.59585725681387,0.7858023715415019,0.8029156295416333,0.47373913043478255,0.6055764109201337,0.7823978919631094,0.7651022051964093,0.5011541501976284,0.6290023724469844,0.7955415019762846,0.7960135314771314,0.52,31625,63250,0.5,0.6290023724469844,0.44463639264518356,0.4680623541720343,0.8390599817250499,0.023425961526850725,55.78413514725492
0,False,True,True,False,True,False,True,False,0.4676769151863359,0.6692668082333594,0.5045489917807311,0.43584958487678255,0.6138288606707476,0.7768681356868046,0.7254280987178319,0.5319939150268116,0.8700174843001136,0.9098277504726153,0.837357915305901,0.9053385199621143,0.8708355613890193,0.9112158480112591,0.8454003392382307,0.8978630544720849,0.8983756267798269,0.930967477493293,0.8820048252457877,0.9153734231388885,0.6102749678876715,0.7714579568032469,0.7071062938067347,0.5368083725533708,0.9099810530922501,0.9389778159779839,0.8952025143881155,0.9252661592898332,49228,98456,0.5,0.9099810530922501,0.14259805270133563,0.44230413790591416,0.5323230848136641,0.29970608520457853,83.08941515484709
27,False,False,True,False,True,False,True,False,0.46820773551668166,0.8017835378240028,0.5051837039450311,0.4362963925818705,0.6139335953509264,0.8662306004712764,0.7261105357934698,0.5318110253928786,0.7792157607844346,0.9140692288941252,0.8014684006951118,0.7581863119671174,0.8670300807371047,0.9452059803363939,0.8423436200566996,0.893231313265425,0.8987026811574557,0.9587226781506459,0.8824649015227543,0.9155763346702243,0.6104278804791294,0.8628179085073535,0.7064786292623053,0.5373972379313855,0.9098959663303194,0.9633460632160558,0.8949135902810876,0.9254081530016288,49228,196912,0.25,0.9098959663303194,0.14222014496244778,0.4416882308136378,0.5317922644833184,0.29946808585119,83.05653547683241
35,False,False,True,False,False,False,False,False,0.0,0.6666666666666666,0.0,0.0,0.26528650118488595,0.698003372401675,0.7016521917867447,0.16356846192863356,0.264571034668417,0.6987475231303449,0.7102238291903284,0.1625666251903102,0.3339559903221335,0.7220305201506839,0.8294939987718898,0.2090646076202939,0.4215135961313917,0.7346357000238798,0.7710368014451369,0.29003872034425005,0.267929119652456,0.6983517420255014,0.7012730916433003,0.16560302053489123,0.42700296386052533,0.7368372263737711,0.7785822912418354,0.2941696703415245,161706,323412,0.5,0.42700296386052533,0.267929119652456,0.42700296386052533,1.0,0.1590738442080693,42.700296386052536
37,False,False,False,True,True,False,False,True,0.15149177758699062,0.8064758893280632,0.6156683888121928,0.08638735177865613,0.4589073672707301,0.8451541501976285,0.7620465356291113,0.32837944664031615,0.0,0.8,0.0,0.0,0.22286137581465834,0.8108395256916996,0.6249582581841333,0.1356205533596838,0.5092275487747315,0.8543304347826087,0.7806813960177803,0.3779288537549407,0.5451625984726431,0.8594086956521739,0.7722475985617765,0.4213122529644268,0.5608174530973985,0.8629122529644269,0.7805794003383489,0.4376284584980238,31625,126500,0.25,0.5608174530973985,0.39367082088565253,0.4093256755104079,0.8485082224130094,0.015654854624755354,48.24062568850035
30,False,False,True,False,False,True,True,False,0.00015539653110809397,0.7909198017388478,0.001777665565300476,8.125126955108673e-05,0.37649655524482417,0.8177947509547412,0.5966101379239489,0.27510746656457646,0.0,0.7999918745429431,0.0,0.0,0.09544078969126513,0.8044730641098562,0.6396075684093647,0.05242892087151787,0.4017489594030567,0.8013935158852685,0.5053591533184575,0.3334280762750935,0.3896609413460236,0.8135329487283659,0.5643339626294355,0.29765563058608924,0.4049849384428428,0.8021451206630372,0.5081766315368063,0.33665796279463517,49228,196912,0.25,0.4049849384428428,0.3895055448149155,0.4048295419117347,0.9998446034688919,0.015323997096819197,40.48924607956141
2,False,True,True,False,True,False,False,False,0.2984248824073967,0.6640776030505063,0.49110221111424535,0.21433961181799024,0.45440553400537215,0.7342667155088292,0.7198848321204787,0.3319975805884443,0.5092724802829013,0.7262975237500197,0.6328585202199202,0.42608193959219165,0.6045276651746313,0.779764924348143,0.7529423552544809,0.5050029617369741,0.6866385131719223,0.8223030260518396,0.83293610719849,0.5840723701739453,0.46244230540050035,0.7335040138803217,0.7057727928805465,0.3438957168759195,0.6996452546035481,0.8299217906654635,0.8504452696978252,0.594288454786348,80853,161706,0.5,0.6996452546035481,0.16401742299310368,0.4012203721961514,0.7015751175926033,0.23720294920304774,57.18851226835208
29,False,False,True,False,True,False,False,False,0.2987275435549784,0.7984663525162949,0.4912601197007354,0.2146240578859818,0.45434976572906727,0.840564975943997,0.7200122432367619,0.3318986158559646,0.4308688150020579,0.8314447206658999,0.6634858281971551,0.3190357369160694,0.6046459598379094,0.8679405835281312,0.75344877792384,0.5049286768074368,0.6864688944492116,0.8933273966333966,0.8327484292930342,0.583923934165725,0.4624994491504687,0.840144459698465,0.7060631186110999,0.34388335058670844,0.6997506153226873,0.8979877060838806,0.8505422299444139,0.5943873239110745,80853,323412,0.25,0.6997506153226873,0.16377190559549032,0.40102307176770896,0.7012724564450217,0.23725116617221864,57.18505954171156
