,extended.base_filename,is_ransomware,is_encrypted,Baseline only: pred,Advanced only: pred,Fourier only: pred,Baseline and Fourier: pred,Advanced and Fourier: pred,Baseline and Advanced: pred,"Baseline, Advanced, and Fourier: pred"
0,base32.0097-ods.ods,0,1,1,1,1,1,1,1,1
1,base32.0021-webp-q50-c4.webp,0,1,1,1,1,1,1,1,1
2,0088-jpg-q075.jpg,0,1,1,1,1,1,1,1,1
3,base32.0005-gz.gz,0,1,1,1,1,1,1,1,1
4,0033-xlsx.xlsx,0,1,1,1,1,1,1,1,1
5,base32.0076-webp-q50-c4.webp,0,1,1,1,1,1,1,1,1
6,0085-zip-lzma.zip,0,1,1,1,1,1,1,1,1
7,base32.0036-webp-lossless-c4.webp,0,1,1,1,1,1,1,1,1
8,base32.0003-zip-highcompress.zip,0,1,1,1,1,1,1,1,1
9,0090-png-c7.png,0,0,0,0,0,0,0,0,0
10,base32.0012-html.html,0,1,1,1,1,1,1,1,1
11,0016-7z-lzma.7z,0,1,1,1,1,1,1,1,1
12,0100-7z-ppmd.7z,0,0,1,1,1,1,1,1,1
13,base32.0051-webp-lossless-c4.webp,0,0,0,0,0,0,0,0,0
14,base32.0001-doc.doc,0,1,1,1,1,1,1,1,1
15,base32.0032-7z-lzma.7z,0,1,1,1,1,1,1,1,1
16,base32.0034-gif.gif,0,1,1,1,1,1,1,1,1
17,0069-jpg-q025.jpg,0,1,1,1,1,1,1,1,1
18,0020-png-c3.png,0,0,0,0,0,0,0,0,0
19,0099-webp-q50-c4.webp,0,1,0,1,1,1,1,1,1
20,base32.0052-pdf-password.pdf,0,1,1,1,1,1,1,1,1
21,base32.0006-webp-lossless-c4.webp,0,1,1,1,1,1,1,1,1
22,0067-dwg.dwg,0,1,1,1,1,1,1,1,1
23,0058-pdf.pdf,0,1,1,1,1,1,1,1,1
24,base32.0032-jpg-q025.jpg,0,1,1,1,1,1,1,1,1
25,base32.0012-zip-highcompress.zip,0,0,1,1,1,1,1,1,1
26,base32.0011-zip-lzma.zip,0,1,1,1,1,1,1,1,1
27,0034-pptx-password.pptx,0,1,1,1,1,1,1,1,1
28,0022-pptx.pptx,0,0,0,0,0,0,0,0,0
29,0010-dwg-from-web.dwg,0,1,1,1,1,1,1,1,1
30,0016-zip-encrypted.zip,0,1,1,1,1,1,1,1,1
31,base32.0030-csv.csv,0,1,1,1,1,1,1,1,1
32,0053-mp4-from-web.mp4,0,0,0,0,0,0,0,0,0
33,0012-exe.exe,0,0,1,0,1,0,0,0,0
34,base32.0081-jpg.jpg,0,1,1,0,0,0,0,0,0
35,0034-zip-lzma.zip,0,1,1,1,1,1,1,1,1
36,base32.0001-7z-bzip2.7z,0,1,1,1,1,1,1,1,1
37,base32.0048-js.js,0,1,1,1,1,1,1,1,1
38,0037-7z-highcompress.7z,0,0,1,1,1,1,1,1,1
39,base32.0040-docx.docx,0,1,1,1,1,1,1,1,1
40,base32.0064-ods.ods,0,0,0,1,1,0,1,0,0
41,base32.0028-zlib.zlib,0,0,0,0,1,0,0,0,1
42,base32.0045-pptx-nomagic.pptx,0,1,1,1,1,1,1,1,1
43,base32.0070-gz.gz,0,1,1,1,1,1,1,1,1
44,PS1.pdf,0,1,1,1,1,1,1,1,1
45,0075-zip-lzma.zip,0,0,1,1,1,1,0,1,1
46,base32.0076-zip-deflate.zip,0,0,0,0,1,0,0,0,0
47,0075-png-c9.png,0,1,1,1,1,1,1,1,1
48,base32.0029-rar.rar,0,1,1,1,1,1,1,1,1
49,base32.0038-mkv.mkv,0,1,1,1,0,1,1,1,1
50,base32.0030-svg.svg,0,1,1,1,1,1,1,1,1
51,0098-apk.apk,0,1,1,1,1,1,1,1,1
52,0027-oxps.oxps,0,1,1,1,1,1,1,1,1
53,0094-webp-lossless-c4.webp,0,1,1,1,1,1,1,1,1
54,0072-pptx-password.pptx,0,1,1,1,1,1,1,1,1
55,0082-7z-ppmd.7z,0,1,1,1,1,1,1,1,1
56,base32.0001-webp-lossless-c6.webp,0,1,1,1,1,1,1,1,1
57,0087-ppt-nomagic.ppt,0,1,1,1,1,1,1,1,1
58,0083-webp-lossless-c6.webp,0,0,0,1,0,0,0,0,0
59,0075-jpg-q100.jpg,0,1,1,1,1,1,1,1,1
60,base32.0083-doc-nomagic.doc,0,1,1,1,0,1,1,1,1
61,base32.0018-pptx.pptx,0,1,0,1,1,1,1,1,1
62,0082-oxps.oxps,0,1,1,1,1,1,1,1,1
63,base32.0036-bin.bin,0,1,1,1,1,1,1,1,1
64,0021-xls-password.xls,0,1,1,1,1,1,1,1,1
65,0038-pptx.pptx,0,0,0,0,0,0,0,0,0
66,base32.0034-7z-encrypted.7z,0,1,1,1,1,1,1,1,1
67,0061-gz.gz,0,0,0,0,0,0,0,0,0
68,0004-pdf-nomagic.pdf,0,1,1,1,1,1,1,1,1
69,base32.0034-pdf-password.pdf,0,1,1,1,0,1,1,1,1
70,0058-jpg-q100.jpg,0,1,1,1,1,1,1,1,1
71,0049-7z-highcompress.7z,0,1,1,1,1,1,1,1,1
72,base32.0033-gif-from-web.gif,0,1,1,1,1,1,1,1,1
73,base32.0060-zip-encrypted.zip,0,1,1,1,1,1,1,1,1
74,base32.0081-jpg-q025.jpg,0,1,1,1,1,1,1,1,1
75,base32.0082-dwg-from-web.dwg,0,1,1,1,1,1,1,1,1
76,0075-png-from-web.png,0,0,1,1,1,0,1,1,1
77,0019-xlsx-password.xlsx,0,1,1,1,1,1,1,1,1
78,base32.0013-dwg.dwg,0,1,1,1,1,1,1,1,1
79,base32.0028-tif-resized.tif,0,1,1,1,1,1,1,1,1
80,base32.0044-webp-lossless-c0.webp,0,0,0,1,0,0,1,1,0
81,base32.0058-png-from-web.png,0,0,0,1,0,0,0,0,0
82,0024-png-c0.png,0,1,1,1,0,1,1,1,1
83,base32.0060-jpg-q100.jpg,0,1,1,1,1,1,1,1,1
84,0096-7z-lzma.7z,0,1,1,1,1,1,1,1,1
85,base32.0086-pptx-nomagic.pptx,0,1,1,1,1,1,1,1,1
86,base32.0030-apk.apk,0,1,1,0,1,1,1,1,1
87,base32.0073-jpg-q100.jpg,0,1,1,1,1,1,1,1,1
88,0025-svg.svg,0,0,0,0,0,0,0,0,0
89,0052-docx-password.docx,0,1,1,1,1,1,1,1,1
90,0065-xls-password.xls,0,1,1,1,1,1,1,1,1
91,0013-pdf-password.pdf,0,1,1,0,1,1,1,1,1
92,base32.0041-pptx-nomagic.pptx,0,1,1,1,1,1,1,1,1
93,0013-xlsx-nomagic.xlsx,0,0,0,0,0,0,0,0,0
94,0080-docx-nomagic.docx,0,1,1,1,1,1,1,1,1
95,base32.0022-js.js,0,1,1,1,1,1,1,1,1
96,base32.0017-7z-bzip2.7z,0,1,1,1,1,1,1,1,1
97,base32.0006-doc-password.doc,0,0,0,1,0,0,0,0,0
98,base32.0062-TIF.TIF,0,0,0,0,0,0,0,0,0
99,base32.0013-png-c7.png,0,1,1,1,1,1,1,1,1
100,0051-xml.xml,0,1,1,1,1,1,1,1,1
101,base32.0030-png-c7.png,0,0,0,0,0,0,0,0,0
102,base32.0066-pptx.pptx,0,1,1,1,1,1,1,1,1
103,0048-css.css,0,1,1,1,1,1,1,1,1
104,0055-dll.dll,0,1,0,1,1,1,1,1,1
105,base32.0098-doc-nomagic.doc,0,0,0,1,1,0,0,0,0
106,base32.0002-gif.gif,0,1,1,1,1,1,1,1,1
107,0007-xlsx-password.xlsx,0,0,0,0,0,0,0,0,0
108,base32.0093-xlsx-password.xlsx,0,1,1,1,1,1,1,1,1
109,base32.0054-pptx-password.pptx,0,1,1,1,1,1,1,1,1
110,0055-oxps.oxps,0,1,1,1,1,1,1,1,1
111,0017-TIF.TIF,0,1,1,1,1,1,1,1,1
112,0020-exe.exe,0,1,1,1,1,1,1,1,1
113,base32.0027-dwg.dwg,0,1,1,1,1,1,1,1,1
114,0054-oxps.oxps,0,0,0,0,0,0,0,0,0
115,0078-png-c9.png,0,0,0,0,0,0,0,0,0
116,base32.0052-jpg-q100.jpg,0,0,0,0,0,0,0,0,0
117,base32.0061-mp3.mp3,0,1,1,1,0,1,0,1,1
118,base32.0068-7z-lzma.7z,0,1,1,1,1,1,1,1,1
119,base32.0004-jpg-q100.jpg,0,1,1,1,1,1,1,1,1
120,base32.0043-eps-from-web.eps,0,1,1,1,1,1,1,1,1
121,base32.0063-7z-highcompress.7z,0,0,0,0,0,0,0,0,0
122,base32.0004-jpg-q001.jpg,0,1,1,1,1,0,1,1,1
123,0041-xlsx-nomagic.xlsx,0,1,1,1,1,1,1,1,1
124,base32.0089-eps-from-web.eps,0,1,1,1,1,1,1,1,1
125,0036-xml.xml,0,1,1,1,1,1,1,1,1
126,0025-rar.rar,0,0,0,0,1,1,0,0,0
127,0095-rar.rar,0,0,0,0,0,0,0,0,0
128,0043-7z-highcompress.7z,0,1,1,1,1,1,1,1,1
129,0021-pptx.pptx,0,1,1,1,1,1,1,1,1
130,base32.0059-bmp.bmp,0,1,0,0,1,1,1,0,1
131,base32.0025-pdf.pdf,0,1,1,0,0,1,0,1,1
132,base32.0016-exe.exe,0,1,1,1,1,1,1,1,1
133,0056-bin.bin,0,0,0,0,0,0,0,0,0
134,base32.0068-html.html,0,0,0,0,0,0,0,0,0
135,base32.0042-ics.ics,0,1,1,1,1,1,1,1,1
136,base32.0056-7z-lzma.7z,0,1,0,1,1,1,1,1,1
137,base32.0027-bmp-from-web.bmp,0,0,1,1,0,0,1,1,1
138,base32.0021-webp-lossless-c2.webp,0,1,1,1,1,1,1,1,1
139,0044-xlsx.xlsx,0,1,1,1,1,1,1,1,1
140,0056-png-c5.png,0,1,0,1,1,1,1,1,1
141,base32.0054-tif-resized.tif,0,0,0,0,0,0,0,0,0
142,0050-apk.apk,0,1,1,1,1,1,1,1,1
143,base32.0070-zip-encrypted.zip,0,1,1,1,1,1,1,1,1
144,base32.0057-js.js,0,1,1,0,0,1,1,1,1
145,base32.0041-mp4-from-web.mp4,0,1,1,1,1,1,1,1,1
146,0074-webp-lossless-c0.webp,0,0,0,1,0,0,0,0,0
147,0011-svg.svg,0,0,0,0,0,0,0,0,0
148,0096-so.so,0,0,0,0,0,0,0,0,0
149,0018-tif-resized.tif,0,0,0,0,1,0,0,0,0
150,base32.0084-bmp.bmp,0,1,1,1,1,1,1,1,1
151,base32.0080-xml.xml,0,1,1,1,1,1,1,1,1
152,0029-apk.apk,0,0,0,0,0,0,0,0,0
153,0021-pptx-password.pptx,0,0,1,0,0,0,0,0,0
154,base32.0100-zlib.zlib,0,1,1,1,1,1,1,1,1
155,base32.0087-7z-bzip2.7z,0,0,0,1,0,1,1,1,1
156,0098-webp-lossless-c4.webp,0,1,1,1,0,1,1,1,1
157,0023-pdf.pdf,0,1,1,1,1,1,1,1,1
158,0038-zip-lzma.zip,0,1,1,1,1,1,1,1,1
159,base32.0013-so.so,0,1,1,1,1,1,1,1,1
160,MKV.pdf,0,1,1,1,1,1,1,1,1
161,0029-webp-lossless-c4.webp,0,1,1,1,1,1,1,1,1
162,base32.LZMA.pdf,0,1,1,1,1,1,1,1,1
163,0038-7z-ppmd.7z,0,0,1,1,1,1,1,1,1
164,0055-ppt.ppt,0,1,0,1,1,1,1,1,1
165,base32.0083-doc-password.doc,0,1,1,0,1,1,1,1,1
166,0037-epub.epub,0,1,1,1,1,1,1,1,1
167,base32.0068-so.so,0,1,1,1,1,1,1,1,1
168,base32.0029-7z-ppmd.7z,0,0,1,1,1,1,1,1,1
169,base32.0027-jpg-q075.jpg,0,1,1,1,0,1,1,1,1
170,base32.0073-7z-lzma.7z,0,1,1,1,1,1,1,1,1
171,base32.0032-exe.exe,0,1,1,1,1,1,1,1,1
172,base32.0007-zip-ppmd.zip,0,0,1,0,1,1,0,0,0
