,extended.base_filename,is_ransomware,is_encrypted,Baseline only: pred,Advanced only: pred,Fourier only: pred,Baseline and Fourier: pred,Advanced and Fourier: pred,Baseline and Advanced: pred,"Baseline, Advanced, and Fourier: pred"
0,base32.0038-doc-password.doc,0,0,0,0,0,0,0,0,0
1,0054-png-from-web.png,0,0,0,1,0,0,0,0,0
2,base32.0086-docx-password.docx,0,1,1,1,1,1,1,1,1
3,base32.0080-webp-q50-c0.webp,0,1,1,1,1,1,1,1,1
4,0050-7z-bzip2.7z,0,0,0,0,0,0,0,0,0
5,0099-txt.txt,0,1,1,1,1,1,1,1,1
6,0010-TIF.TIF,0,1,1,0,1,1,1,1,1
7,0051-webp-q50-c0.webp,0,1,1,1,0,1,1,1,1
8,0074-pptx-password.pptx,0,0,0,0,0,0,0,0,0
9,base32.0078-zip-deflate.zip,0,0,0,0,1,0,1,0,1
10,0046-xlsx.xlsx,0,1,1,1,1,1,1,1,1
11,0023-bmp.bmp,0,0,0,0,0,0,0,0,0
12,0044-7z-highcompress.7z,0,1,1,1,1,1,0,1,1
13,base32.0085-xls.xls,0,1,1,1,1,1,1,1,1
14,0075-xls-password.xls,0,0,0,0,0,0,0,0,0
15,0076-bmp-from-web.bmp,0,1,1,1,1,1,1,1,1
16,base32.0098-css.css,0,0,0,0,1,0,0,0,0
17,base32.0096-webp-from-web.webp,0,1,1,1,1,1,1,1,1
18,base32.0070-png-from-web.png,0,1,1,1,1,1,1,1,1
19,0036-xlsx-password.xlsx,0,1,1,1,1,1,1,1,1
20,base32.0024-7z-lzma2.7z,0,1,1,1,1,1,1,1,1
21,base32.0085-pdf-password.pdf,0,1,1,1,1,1,1,1,1
22,base32.0063-xml.xml,0,0,0,0,0,0,0,0,0
23,base32.0087-7z-encrypted.7z,0,1,1,1,1,1,1,1,1
24,0093-png-c5.png,0,0,0,0,0,0,0,0,0
25,base32.0056-pptx-nomagic.pptx,0,1,0,0,0,1,1,1,0
26,0095-gif.gif,0,1,1,1,1,1,1,1,1
27,base32.0044-bmp.bmp,0,1,1,1,1,1,1,0,1
28,base32.0068-eps-from-web.eps,0,0,0,0,0,0,0,0,0
29,base32.0059-zip-encrypted.zip,0,1,1,1,1,1,1,1,1
30,0099-zip-lzma.zip,0,1,1,1,1,1,1,1,1
31,base32.0050-gif-from-web.gif,0,1,0,1,1,1,1,1,1
32,CSS.pdf,0,1,1,1,1,1,1,1,1
33,base32.0038-pptx.pptx,0,0,0,0,0,0,0,0,0
34,base32.0059-zip-highcompress.zip,0,1,1,1,1,1,1,1,1
35,0051-7z-lzma2.7z,0,1,1,1,1,1,1,1,1
36,base32.0004-jpg-q025.jpg,0,1,1,1,1,1,1,1,1
37,base32.0045-webp-q50-c6.webp,0,1,1,1,1,1,1,1,1
