,extended.base_filename,is_ransomware,is_encrypted,Baseline only: pred,Advanced only: pred,Fourier only: pred,Baseline and Fourier: pred,Advanced and Fourier: pred,Baseline and Advanced: pred,"Baseline, Advanced, and Fourier: pred"
0,base32.0015-bmp-from-web.bmp,0,0,0,0,0,0,0,0,0
1,base32.0029-bmp-from-web.bmp,0,1,1,1,1,1,1,1,1
2,base32.0007-bmp.bmp,0,0,1,0,0,0,0,0,0
3,0024-mp3.mp3,0,1,1,1,1,1,1,1,1
4,base32.0006-tif-resized.tif,0,1,1,1,1,1,1,1,1
5,0005-webp-q50-c4.webp,0,1,1,1,1,1,1,1,1
6,0014-7z-highcompress.7z,0,1,1,1,0,0,1,1,1
7,base32.0071-png-c0.png,0,0,0,1,1,1,1,1,1
8,base32.0073-txt.txt,0,0,0,0,0,0,0,0,0
9,0048-bmp.bmp,0,0,0,1,0,0,0,0,0
10,base32.0084-webp-q50-c0.webp,0,0,1,0,1,1,1,0,1
11,base32.0022-png-from-web.png,0,1,1,1,1,1,1,1,1
12,0086-zip-highcompress.zip,0,1,1,1,1,1,1,1,1
13,base32.0087-ppt.ppt,0,0,0,0,1,0,0,0,0
14,base32.0052-png-from-web.png,0,0,0,0,0,0,0,0,0
15,0040-docx.docx,0,1,1,1,1,1,1,1,1
16,base32.0010-pdf-password.pdf,0,1,1,1,1,1,1,1,1
17,0091-7z-lzma.7z,0,0,1,1,1,1,1,1,1
18,0001-ppt-nomagic.ppt,0,0,0,0,0,0,0,0,0
19,base32.0094-zip-deflate.zip,0,0,0,1,1,1,1,1,1
20,0074-png-c5.png,0,1,1,1,1,1,1,1,1
21,quality-75-percent.pdf,0,1,1,0,0,0,0,0,0
22,base32.0093-dwg.dwg,0,0,0,0,0,0,0,0,0
23,base32.0006-7z-lzma.7z,0,0,1,1,1,1,1,1,1
24,base32.0010-ods.ods,0,1,0,0,0,0,0,0,0
25,0092-jpg-q025.jpg,0,0,1,0,1,1,0,0,0
26,base32.0082-zip-highcompress.zip,0,0,1,1,1,1,1,1,1
27,base32.0072-mkv.mkv,0,0,0,0,1,1,0,0,0
28,0072-xls-nomagic.xls,0,1,0,1,1,1,1,1,1
29,0042-mp4-from-web.mp4,0,1,1,0,0,0,0,0,0
30,0094-ppt-password.ppt,0,1,1,0,1,1,0,0,0
31,0050-dwg.dwg,0,1,1,0,1,1,1,0,1
32,0009-oxps.oxps,0,0,1,0,0,0,0,0,0
33,0059-7z-bzip2.7z,0,1,1,1,1,1,1,1,1
34,0024-jpg-q025.jpg,0,1,1,0,1,1,0,0,0
35,base32.0008-jpg-q025.jpg,0,1,1,1,1,1,1,1,1
36,base32.0054-webp-lossless-c6.webp,0,0,0,0,1,1,0,0,0
37,base32.0078-webp-q50-c6.webp,0,0,1,1,1,1,1,1,1
38,base32.0100-gz.gz,0,0,1,1,1,1,1,1,1
39,base32.0063-exe.exe,0,1,1,1,1,1,1,1,1
40,base32.0091-webp-from-web.webp,0,1,1,1,0,0,0,1,0
41,0051-ppt-nomagic.ppt,0,1,1,1,1,1,1,1,1
42,0058-mp3.mp3,0,0,1,0,0,0,0,0,0
43,0078-oxps.oxps,0,0,1,0,0,0,0,0,0
44,base32.0099-pdf.pdf,0,1,1,1,1,1,1,1,1
45,0079-webp-lossless-c0.webp,0,1,1,0,0,0,0,0,0
46,base32.0087-webp-q50-c2.webp,0,1,1,1,1,1,1,1,1
47,base32.0084-bmp.bmp,0,1,1,0,0,0,0,0,0
48,base32.0092-svg-from-web.svg,0,0,0,0,0,0,0,0,0
49,0053-png-c7.png,0,1,1,1,1,1,1,1,1
50,base32.0087-7z-highcompress.7z,0,0,1,1,1,1,1,1,1
51,0086-zip-ppmd.zip,0,1,1,1,1,1,1,1,1
52,0074-png-from-web.png,0,0,0,0,0,0,0,0,0
53,base32.0077-TIF.TIF,0,0,0,0,1,1,0,0,0
54,base32.0094-gif.gif,0,0,1,0,1,1,0,0,0
55,0010-txt.txt,0,1,1,0,1,1,1,0,1
56,0073-TIF.TIF,0,1,0,0,1,1,0,0,0
57,0100-docx-nomagic.docx,0,1,1,1,1,1,1,1,1
58,base32.DOC-PASSWORD.pdf,0,1,1,1,1,1,1,1,1
59,base32.0034-eps.eps,0,1,0,0,0,0,0,0,0
60,base32.0009-pptx-password.pptx,0,1,0,1,1,1,1,1,1
61,base32.0006-7z-bzip2.7z,0,1,1,1,1,1,1,1,1
62,0023-xlsx.xlsx,0,1,0,0,1,1,1,0,1
63,base32.0079-jpg.jpg,0,1,0,0,0,1,0,0,0
64,base32.0048-jpg-q001.jpg,0,1,0,0,0,0,0,0,0
65,base32.0080-exe.exe,0,0,0,0,0,0,0,0,0
66,base32.0097-png-c5.png,0,1,1,1,1,1,1,1,1
67,0094-webp-lossless-c4.webp,0,0,1,1,0,0,0,1,0
68,base32.0079-zlib.zlib,0,0,1,1,1,1,1,1,1
69,0052-docx-nomagic.docx,0,0,0,0,0,0,0,0,0
70,base32.0022-txt.txt,0,1,1,1,0,0,0,1,0
